what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1440611226825
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1440611226840
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1440611226919
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1440611226919
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1440611226950
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1440611226950
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1440611227028
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1440611227028
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1440611227122
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1440611227122
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1440611227215
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1440611227215
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1440611227247
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1440611227278
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1440611227278
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1440611227309
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1440611227372
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1440611227419
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1440611227466
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1440611227466
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1440611227544
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1440611227591
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1440611227591
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1440611227591
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1440611227606
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1440611227622
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1440611227622
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1440611227653
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1440611227653
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1440611227653
os,sysinfo,,,"win32",1440611227653
arch,sysinfo,,,"x86",1440611227653
ws,sysinfo,,,"win32",1440611227653
locale,sysinfo,,,"en_US",1440611227653
processors,sysinfo,,,"4",1440611227653
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1440611227653
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1440611227653
java.specification.name,sysinfo,,,"Java Platform API Specification",1440611227653
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440611227653
java.specification.version,sysinfo,,,"1.8",1440611227653
java.vendor,sysinfo,,,"Oracle Corporation",1440611227653
java.version,sysinfo,,,"1.8.0_45",1440611227653
java.vm.info,sysinfo,,,"mixed mode",1440611227653
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1440611227653
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1440611227653
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1440611227653
java.vm.specification.version,sysinfo,,,"1.8",1440611227653
java.vm.vendor,sysinfo,,,"Oracle Corporation",1440611227653
java.vm.version,sysinfo,,,"25.45-b02",1440611227653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611230106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611230247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611233627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611235611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611235768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611243572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611246870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440611301317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1440611385518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440611390295
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440611429769
